index,predicted,true
9275,1,1.0
7020,1,1.0
5290,1,1.0
6408,0,0.0
7359,1,1.0
7664,0,0.0
5504,0,0.0
5095,0,0.0
3845,0,0.0
8770,1,1.0
7208,1,1.0
3948,1,1.0
3915,0,0.0
7230,1,1.0
9298,0,0.0
4107,1,1.0
8742,0,0.0
6948,1,1.0
2178,1,1.0
440,1,1.0
7558,0,0.0
1758,0,1.0
2351,1,1.0
6560,1,1.0
1680,0,0.0
1735,0,0.0
1996,0,0.0
5212,0,0.0
4362,1,1.0
2294,0,0.0
8680,1,1.0
6998,1,1.0
4207,1,1.0
560,1,1.0
1041,1,1.0
8325,1,1.0
5649,1,1.0
7459,0,0.0
2784,0,0.0
4123,0,0.0
5848,1,1.0
5056,0,0.0
1916,1,1.0
595,1,0.0
195,1,1.0
4063,0,0.0
8202,1,1.0
2005,0,1.0
879,0,0.0
1391,0,0.0
4915,1,1.0
2191,1,1.0
9913,1,1.0
1504,1,1.0
7909,1,1.0
8100,1,1.0
4546,1,1.0
6844,1,1.0
5368,0,0.0
2666,1,1.0
9459,1,0.0
6804,1,0.0
9947,0,0.0
6833,0,0.0
1007,1,1.0
2303,0,1.0
2985,0,0.0
807,1,1.0
38,0,0.0
2133,1,1.0
4190,1,1.0
654,1,1.0
1343,0,0.0
9132,0,0.0
3739,0,0.0
8785,1,1.0
9453,1,1.0
2321,1,1.0
9753,1,1.0
1404,0,0.0
5611,0,0.0
5432,1,1.0
7809,1,1.0
164,1,1.0
5805,0,0.0
849,0,0.0
4849,1,1.0
1592,1,1.0
2730,1,1.0
7786,1,1.0
9134,1,1.0
1072,1,1.0
6457,0,0.0
1261,0,0.0
3840,1,1.0
2429,0,0.0
2831,0,0.0
2075,0,0.0
4760,0,0.0
7373,0,0.0
2864,0,0.0
7224,0,0.0
3908,1,1.0
4070,0,0.0
9378,0,0.0
6612,1,1.0
2332,0,0.0
9610,1,1.0
7129,1,1.0
5667,1,1.0
3340,1,1.0
7229,1,1.0
4848,0,0.0
2811,0,0.0
5907,1,1.0
3634,1,1.0
4960,1,0.0
7400,0,0.0
5835,0,0.0
4943,1,1.0
9185,0,0.0
6953,1,1.0
3917,0,0.0
8399,0,0.0
7178,1,1.0
960,1,1.0
2297,0,0.0
254,0,0.0
8287,1,1.0
4632,0,0.0
5452,1,1.0
8362,0,1.0
5992,0,0.0
4468,1,1.0
1454,1,1.0
7464,0,0.0
709,0,0.0
6825,1,1.0
8175,0,0.0
1074,1,1.0
3509,1,1.0
1597,1,1.0
1528,1,1.0
208,0,1.0
1313,1,1.0
982,1,1.0
769,0,0.0
4197,1,1.0
9040,0,0.0
6003,0,0.0
2383,1,1.0
6668,0,0.0
5629,0,0.0
8603,0,0.0
1103,0,0.0
9955,0,0.0
6470,1,1.0
3430,1,1.0
6104,0,0.0
1101,0,0.0
7113,1,1.0
3020,1,1.0
9327,1,1.0
5696,0,0.0
6824,1,1.0
2116,1,1.0
7027,0,0.0
7259,0,0.0
2198,0,0.0
9968,0,0.0
557,0,0.0
174,1,1.0
9601,1,1.0
3677,1,1.0
1573,1,1.0
9173,1,1.0
1046,0,0.0
3552,1,1.0
6661,0,0.0
2786,1,1.0
5403,1,1.0
8470,0,0.0
1480,1,1.0
4895,0,0.0
6572,1,1.0
7003,1,0.0
1187,0,0.0
1414,1,1.0
2034,1,0.0
7117,1,1.0
2921,1,0.0
638,0,0.0
922,0,0.0
8589,1,1.0
1133,0,0.0
7721,1,1.0
3624,0,0.0
5152,1,1.0
2533,0,0.0
6666,1,1.0
8739,1,1.0
7033,0,0.0
6918,0,0.0
6221,0,0.0
7838,1,1.0
6881,0,0.0
4463,0,0.0
88,0,0.0
4503,0,0.0
7363,1,0.0
5387,0,0.0
4424,1,1.0
4512,1,1.0
8878,0,0.0
7612,0,0.0
6070,1,1.0
4477,1,1.0
3440,0,0.0
6105,0,0.0
8802,1,1.0
9576,1,1.0
3783,1,0.0
294,0,0.0
8413,1,1.0
6313,1,1.0
7108,0,0.0
5892,1,1.0
1844,1,1.0
8191,0,0.0
3156,1,1.0
5767,1,1.0
7483,1,1.0
8782,1,1.0
2893,1,1.0
4448,0,0.0
133,0,0.0
3968,1,1.0
1957,0,0.0
3418,0,0.0
2349,0,0.0
9153,1,1.0
4003,0,0.0
424,0,0.0
7398,1,1.0
3583,0,0.0
6530,1,1.0
1994,1,1.0
3602,0,0.0
1634,1,1.0
911,1,1.0
9468,0,0.0
4238,1,1.0
4288,0,0.0
9382,1,0.0
2826,0,0.0
6792,0,0.0
8958,0,0.0
2189,0,0.0
5059,1,0.0
3445,1,1.0
8045,1,1.0
6603,1,1.0
7524,1,1.0
5711,1,1.0
8641,0,1.0
4624,0,0.0
6405,1,1.0
2796,1,1.0
4038,0,0.0
376,0,0.0
2858,1,1.0
5588,1,1.0
8275,0,0.0
4526,1,1.0
3995,0,0.0
3498,1,1.0
7891,1,1.0
9470,0,0.0
3358,0,0.0
2539,1,1.0
2590,0,0.0
4881,1,1.0
6223,1,1.0
9825,1,1.0
4558,0,0.0
9909,1,0.0
2964,1,1.0
402,0,0.0
3655,0,0.0
9798,0,0.0
465,1,1.0
5470,0,0.0
2607,0,0.0
407,0,0.0
1825,0,0.0
6226,1,1.0
1014,1,1.0
8532,1,1.0
3849,0,0.0
6077,1,0.0
25,0,0.0
2613,0,0.0
2,0,0.0
3992,0,0.0
5037,0,0.0
6416,0,0.0
2898,1,1.0
1875,1,1.0
3134,0,0.0
4031,1,1.0
8052,0,0.0
2449,0,0.0
4539,1,1.0
3522,0,0.0
8083,1,1.0
464,0,0.0
7209,0,0.0
5914,0,0.0
7467,0,0.0
4171,0,0.0
8334,0,0.0
8533,1,1.0
2901,0,0.0
2940,0,0.0
1519,1,1.0
7132,1,1.0
5239,0,0.0
6360,0,0.0
7933,1,1.0
1031,0,0.0
6678,1,1.0
3223,0,0.0
7865,0,0.0
8039,1,1.0
6697,0,0.0
1368,1,1.0
8041,1,1.0
2055,0,0.0
5185,0,0.0
1456,1,1.0
898,1,1.0
9000,0,0.0
5471,0,0.0
3309,1,1.0
7423,0,0.0
8056,1,1.0
5568,1,1.0
1590,1,1.0
3953,1,1.0
3028,1,1.0
9233,1,1.0
9649,1,1.0
854,0,0.0
6995,0,0.0
1848,0,0.0
263,1,1.0
5341,0,0.0
4256,0,0.0
6254,1,1.0
6021,1,1.0
1204,1,1.0
9411,0,0.0
4367,0,0.0
4005,1,0.0
8492,0,0.0
9916,1,1.0
6037,0,1.0
1285,1,1.0
7144,0,0.0
3323,1,1.0
3213,0,0.0
6013,1,1.0
1241,1,1.0
3996,1,1.0
7107,1,1.0
